permit,long_name
20526,20526 - Disused Railway Cutting - Lane End Landfill
20528,20528 - Halloon Farm
20531,20531 - Holwood Quarry Landfill Site
20532,20532 - The Kelliers
20535,20535 - Connon Fields
20539,20539 - Treworder Landfill Site
20540,20540 - Conce Moor Landfill Site
20545,20545 - Newlyn East Treatment Site
20549,20549 - Tiscott Wood Landfill Site
20751,20751 - Combebow Landfill Site
20753,20753 - Chelson Meadow
20754,20754 - Old Canal Landfill Site
20755,20755 - Newton Downs
20756,20756 - Strashleigh Hams Landfill
20757,20757 - Challonsleigh
20759,20759 - Hollacombe Landfill
20760,20760 - Hayedown  Landfill Site
21504,21504 - Claylands Cross Landfill
21519,21519 - East Grindhill
21521,21521 - Bowerland
21522,21522 - Exeter Road Landfill
21582,21582 - Meadow Wood Pet Cemetery
21585,21585 - Torr Quarry (nr)
21594,21594 - Dallacombe Farm
21596,21596 - West Wheatley Farm
21597,21597 - Marlands Landfill
21599,21599 - Yannon Lane
21600,21600 - Springdale Farm Landfill
21604,21604 - Bickley Ball
21609,21609 - Rake Farm
21613,21613 - Wood Quarry
21615,21615 - Eastacombe Landfill Site
21621,21621 - Jubilee Tip
21622,21622 - Whitehills Plantation
21632,21632 - Chalwells
21653,21653 - Blackhill Quarry
21654,21654 - Hillhead Quarry
21664,21664 - Storridge Lane
21666,21666 - Holelake Quarry
21667,21667 - Higher Whipcott Quarry
21669,21669 - Exwick Barton
21672,21672 - Holcombe Lane Landfill Site
21673,21673 - Shute Hill Landfill Site
21675,21675 - Sutton Barton Landfill & Civic Amenity Site
21679,21679 - Bawdenhayes Farm
21681,21681 - Allers Wood
21683,21683 - Stoke Hill
21684,21684 - Penn Cross Landfill
21690,21690 - Mouldens
21692,21692 - Morrels Lane
21711,21711 - Goutsford Quarry
21735,21735 - Torr Quarry Inert Waste Landfill
21742,"21742 - Exeter Road Industrial Estate, Field No. 6367"
21785,21785 - Kenbury Wood Landfill
23504,23504 - Throop House  Closed
23505,23505 - Somerley Landfill
23517,23517 - Chitterne Waste Management Facility
23526,23526 - Tatchells Landfill And Transfer Station
23527,23527 - Stokeford Heath Landfill Site
23528,23528 - Swanage Landfill & Civic Amenity Site
23529,23529 - Bothenhampton Landfill - Closed
23530,23530 - Whites Pit Landfill Site
23532,23532 - Warmwell Quarry Part I I
23534,"23534 - Broadcroft Quarry,"
23535,23535 - Conygar Coppice T L
23559,23559 - North Bund Henbury Plantation Landfill
23598,23598 - Whites Pit Landfill Site
23600,23600 - Shipton Lane Innsacre
23605,23605 - Stanbridge Chalk Pit
23606,23606 - D & P Lovell Quarries
23608,23608 - Suckthumb Quarry Landfill
23613,23613 - Parley Court Farm  - Closed
23615,23615 - Warmwell Quarry ( Camas)
23616,23616 - Crooked Willows Farm
23617,23617 - Little Oak Farm
23621,23621 - Silton Quarry
23622,23622 - Peggs Farm
23623,23623 - Henbury Plantation
23624,23624 - Masters Pit North           Wareham
23627,23627 - Withies Croft Quarry Phase 3
23628,23628 - Povington Ball Clay Pit
23629,23629 - Whites Pit ( Northern Area)
23630,23630 - Hines Pit Landfill Site  - Closed
23631,23631 - Marl Pit
23632,23632 - White Mill Chalkpit
23636,23636 - Barford Cliff Chalk Pit
23637,23637 - Scotland Lodge
23638,23638 - Little Ridghams Copse
23640,23640 - Wide Street Portland
23673,23673 - Hamer Warren Landfill
23674,23674 - Warmwell Quarry North
23689,23689 - Warmwell Landfill Site
23756,23756 - Henbury Landfill Site
26003,26003 - Bearly Farm Landfill Site
26019,26019 - Sahara Sandpit
26021,"26021 - Landfill And Treatment Site On Land Adjacent To Woodhouse Farm, Montacute"
26027,26027 - Paradise Quarry
27001,27001 - Penleigh Tip No 3
27007,27007 - Willow Farm Landfill Site
27042,27042 - Dimmer Landfill
27080,27080 - Creech Hill Farm Sludge Storage Lagoon
27083,27083 - Allerford Railway Pit Landfill Site
27089,27089 - Higher Hurcott Farm Landfill Site
27091,27091 - Southmead Farm Landfill Site
27092,27092 - Stoke Hill Landfill Site
27095,27095 - Witcombe Lane Landfill Site
27096,27096 - Spaxton Road Landfill Site
27099,27099 - Hinkley Point B Landfill Site
27102,27102 - Pond Farm Landfill Site
27103,27103 - Land To Rear Of Glastonbury Sewage Treatment Works
27105,27105 - Vobster Cross Landfill Site
27106,27106 - Allotment Drove Landfill Site
27107,27107 - Station Road Landfill Site
27109,27109 - Puriton Landfill Site
27110,27110 - Glastonbury Heath Landfill Site
27113,27113 - St Cuthberts Paper Mill
27114,27114 - Odcombe Waste Disposal Site
27115,27115 - Poole Brickworks Landfill
27116,27116 - Brompton Ralph Quarry
27117,27117 - Croford Landfill Site
27128,27128 - Bath Old Road Landfill Site
27129,27129 - Westbury Landfill
27132,27132 - Knockdown Quarry Landfill
27137,27137 - Old Allotments Landfill Site
27148,27148 - Cumberwell Park
27149,27149 - Manor Farm Landfill Site
27150,27150 - Land Raising At Field North Of Hawcroft Holt
27152,27152 - Old Park Farm Landfill Site
27155,27155 - Land Raising At Snow Hill & Cowage Brook
27158,27158 - Studley Grange Farm Landfill Site
27173,27173 - Four Winds Landfill Site
27176,27176 - Kingsweton Lane Landfill
27178,27178 - Cliffeville Aust Landfill
27201,27201 - Church Down's Farm Landfill
27207,27207 - Up Yonder Farm Landfill
27220,27220 - Tracy Park Golf Club Landfill Site
27227,27227 - Churngold University Playing Fields Landfill
27228,27228 - Plantation Works Landfill Site
27231,27231 - Colemans Quarry Landfill Site
27233,27233 - Rust Bridge Landfill Site
27236,27236 - Hartcliffe Rocks Quarry
27237,27237 - Star Farm Landfill Site
27238,27238 - Durston Shireway Yate Landfill
27241,27241 - Codrington Quarry Landfill Site
27242,27242 - Berwick Farm Landfill Site
27245,27245 - Lady Farm Landfill Site
27247,27247 - Wickwar Quarry
27249,27249 - Weston Drove Landfill Site
27250,27250 - Keynsham Paper Mill Paper Sludge Treatment Lagoon & Landfill Site
27252,27252 - Foreshore Of Avonmouth Dock
27255,27255 - Bathford Paper Mills Landfill Site
27256,27256 - Crooks Marsh Farm Landfill Site
27257,27257 - Harnhill Quarry Landfill Site
27278,27278 - Danesborough Reservoir Landfill
27282,27282 - Williton Landfill
27299,27299 - Land Off Weston Drove
27300,27300 - Land Off Weston Drove
27301,27301 - Willow Farm Landfill Site
30192,30192 - The Lea Landfill
37005,37005 - Rhoswiel Sawmill
37006,37006 - E T C Sawmills
37108,37108 - Huntington Water Treatment Works
40003,40003 - Judkins Landfill Phase 3
40004,40004 - Fallows - Booths Farm Landfill Site
40028,40028 - John Heath - Park Hall Farm Landfill Site
40039,40039 - Whitemoor Haye Landfill
40047,40047 - Aggregate Industries - Newbold Quarry
40059,40059 - Shire Oak Quarry
40704,40704 - Armitage Ware - Rugeley Landfill Site
40710,40710 - Henry Venables Doxey Road Landfill Site
40712,40712 - Platt & Sons - Brownhills Tileries Landfill Site
40715,40715 - Wedgwood - Midwinters Tip
40716,40716 - Willenhall Lane Landfill Site
40740,40740 - C E M E X   Hopwas Quarry
40741,40741 - Measham Landfill Site
40752,40752 - C E M E X - Weeford Quarry
40803,40803 - Rattlechain Lagoon
40820,40820 - Apollo Sports - Paddock Works
40836,40836 - Douglas - Newbold Gravel Pit
